date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:17	421358/421358	---M-Z	200	added ('OK')	text/html	etag:W/%2266dee-U08Sif/c0TO0lRSz793iRTRuJyE%22	https://www.agt.com.tr/en/sanal-showroom-page/home-design	C:/My%20Web%20Sites/copy/www.agt.com.tr/en/sanal-showroom-page/home-design.html	(from )
09:14:17	124/124	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2006:14:17%20GMT	https://www.agt.com.tr/robots.txt		(from )
09:14:18	332000/332000	---M--	200	added ('OK')	image/png	etag:%22b3aeb743d57bb13b7d8d9ad7438ee700%22	https://cdn.agt.com.tr/assets/img/share-img.png	C:/My%20Web%20Sites/copy/cdn.agt.com.tr/assets/img/share-img.png	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:18	1716/1716	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2006:14:18%20GMT	https://www.agt.com.tr/static/css/font.css	C:/My%20Web%20Sites/copy/www.agt.com.tr/static/css/font.html	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2002%20Oct%202024%2006:14:18%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/copy/www.googletagmanager.com/gtm.35445.delayed	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:20	883/883	---M--	200	added ('OK')	image/png	etag:%22113aaa4eed082fe4270d4241365881c1%22	https://cdn.agt.com.tr/assets/img/agt-logo.png	C:/My%20Web%20Sites/copy/cdn.agt.com.tr/assets/img/agt-logo.png	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:20	2894/2894	---M--	200	added ('OK')	image/png	etag:%22388ac39579e5220da69080c3e9a99a32%22	https://cdn.agt.com.tr/assets/img/en_parke-inf.png	C:/My%20Web%20Sites/copy/cdn.agt.com.tr/assets/img/en_parke-inf.png	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:21	4766/4766	---M--	200	added ('OK')	image/png	etag:%224b23bf6c73a67a912a5c41e2ea7e0965%22	https://cdn.agt.com.tr/assets/img/en_profil-inf.png	C:/My%20Web%20Sites/copy/cdn.agt.com.tr/assets/img/en_profil-inf.png	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:21	526034/526034	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2006:14:20%20GMT	https://www.agt.com.tr/static/js/main.5869a832.chunk.js	C:/My%20Web%20Sites/copy/www.agt.com.tr/static/js/main.5869a832.chunk.html	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:22	923892/923892	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2006:14:21%20GMT	https://www.agt.com.tr/static/js/2.8c36a42a.chunk.js	C:/My%20Web%20Sites/copy/www.agt.com.tr/static/js/2.8c36a42a.chunk.html	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:22	1731/1731	---M-Z	200	added ('OK')	application/javascript	etag:W/%226c3-1s0eec7oePdhcVrYEdKeoGY3QW4%22	https://cdn.jsdelivr.net/npm/js-cookie@3.0.5/dist/js.cookie.min.js	C:/My%20Web%20Sites/copy/cdn.jsdelivr.net/npm/js-cookie@3.0.5/dist/js.cookie.min.js	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:24	8672/8672	---MCZ	200	added ('OK')	application/javascript	etag:W/%227bdcf933e130767dda49dcfa09b3f3b2%22	https://cdn.agt.com.tr/assets/script/home_design.js	C:/My%20Web%20Sites/copy/cdn.agt.com.tr/assets/script/home_design.js	(from https://www.agt.com.tr/en/sanal-showroom-page/home-design)
09:14:24	295/295	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2006:14:23%20GMT	https://www.agt.com.tr/static/js/_trend-inf.png	C:/My%20Web%20Sites/copy/www.agt.com.tr/static/js/_trend-inf.html	(from https://www.agt.com.tr/static/js/main.5869a832.chunk.js)
09:14:24	90/90	---M-Z	302	error ('Found')	text/html	date:Wed,%2002%20Oct%202024%2006:14:24%20GMT	https://www.agt.com.tr/img/agt-logo-footer.png	C:/My%20Web%20Sites/copy/www.agt.com.tr/img/agt-logo-footer.png	(from https://www.agt.com.tr/static/js/main.5869a832.chunk.js)
09:14:25	422137/422137	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22670f9-cpSLR3E8i8LSD3jUsYwucS4nZo0%22	https://www.agt.com.tr/en/agt-logo-footer.png	C:/My%20Web%20Sites/copy/www.agt.com.tr/en/agt-logo-footer.png	(from https://www.agt.com.tr/static/js/main.5869a832.chunk.js)
